res_cod_municipio,int_cod_municipio,records
354150,354150,2017
293077,291840,2016
291915,291915,2012
210203,210203,2011
420900,420900,2010
260920,261000,2002
290475,290270,2002
350900,351640,2002
270160,270800,2000
291550,291480,1999
430690,430690,1999
211110,211110,1998
355160,355160,1997
241440,240810,1995
210150,220390,1991
350790,350790,1989
210960,210960,1987
290720,291840,1985
250130,250400,1984
292440,292440,1984
500070,500110,1983
421280,420820,1982
230590,230590,1981
270640,270640,1981
314530,314530,1980
351410,351410,1980
411750,411520,1978
311730,311730,1976
110032,110032,1973
431337,430460,1973
420210,420910,1971
352510,354340,1969
431033,432160,1969
270255,270630,1967
280280,280210,1966
355040,355040,1966
231380,230640,1964
316292,310670,1963
280400,280030,1960
352640,352640,1960
290800,291480,1958
330320,330320,1958
316760,313940,1956
420650,420890,1955
230270,230270,1953
412440,412440,1953
421250,420820,1953
150660,150660,1948
354425,354425,1947
230160,230420,1943
314600,314600,1943
260520,261000,1941
355150,355150,1939
150650,150140,1938
320510,320530,1938
330227,330350,1938
292050,292050,1936
521310,521310,1935
291190,291190,1934
320506,320506,1931
211107,210300,1929
230220,230110,1926
150565,150565,1924
230920,230420,1924
292430,292430,1923
313600,313600,1920
261400,261220,1918
130350,130350,1917
150090,150090,1917
210670,210670,1916
150375,150375,1915
290530,290530,1915
510787,510787,1910
290470,291480,1909
210950,210950,1907
314410,314410,1906
291140,292400,1905
351360,351360,1905
320245,320245,1901
421320,421320,1900
354410,352940,1897
130165,120020,1896
120033,120020,1895
270450,270430,1895
250030,250400,1893
261560,260990,1893
290810,290810,1893
500430,500430,1891
316040,316040,1889
220120,221100,1887
140047,140047,1886
421220,421220,1885
130002,130002,1884
330227,330414,1884
290620,290620,1876
316710,316710,1869
412170,412170,1869
410210,410210,1867
251270,250400,1865
310420,310420,1864
310670,310620,1862
293020,293020,1861
292750,291080,1860
410290,410290,1858
314270,314270,1855
250970,250970,1853
350275,355060,1851
210890,210890,1850
240820,241220,1849
270720,270800,1848
230130,230420,1845
261040,260990,1845
315960,315960,1845
410425,410690,1844
314280,314280,1843
421550,421550,1842
431180,431180,1841
350290,355700,1839
291490,291360,1837
510650,510650,1837
354330,352940,1833
355030,354780,1833
280100,280290,1823
500190,500190,1823
310110,310110,1821
160080,160027,1820
270650,270430,1820
310940,315120,1818
315980,315980,1817
230710,230710,1815
330227,330285,1815
293030,293030,1814
355330,355330,1814
250770,250400,1813
270915,270915,1813
311160,311160,1813
231210,230420,1811
316270,316270,1811
412405,410830,1809
210280,210280,1808
420130,420910,1808
251630,251630,1806
330045,330455,1806
210880,210880,1804
150277,150277,1803
351380,355030,1803
292450,292450,1802
250890,250750,1799
291450,291080,1799
290720,292600,1798
230495,230765,1797
430850,430850,1796
270500,270800,1795
351820,351820,1794
521120,521120,1794
316245,313930,1793
355010,355010,1793
412215,411330,1793
260190,260190,1792
260390,260010,1790
210805,210805,1789
421050,421050,1786
520910,520910,1786
230930,230930,1785
420010,420010,1785
500315,500315,1778
270644,270430,1777
521850,521850,1777
210510,210510,1775
291370,291370,1774
292340,292340,1774
230380,230380,1773
270640,270800,1773
150172,150172,1772
211003,211003,1771
355380,355380,1770
311880,311880,1769
210640,210640,1767
290110,291080,1767
421870,421870,1767
230530,230530,1766
261650,261000,1766
270730,270730,1765
240420,241220,1764
291992,291992,1764
316280,316280,1764
292905,292905,1763
420460,420700,1763
280067,280210,1762
